1	1	2.431000E+10
1	2	4.716000E+05
2	3	3.889000E+05
2	4	2.343000E+09
3	6	4.210000E+00
3	7	5.126000E+01
4	9	7.374000E-01
5	10	3.433000E+00
5	11	1.388700E+01
6	12	7.001000E+06
6	13	7.842000E+04
7	14	1.943000E+06
7	15	7.143000E+03
8	16	1.410000E+07
8	17	5.260000E+03
8	18	2.827000E+04
9	19	8.411000E+02
10	20	1.996000E+06
10	21	4.786000E+03
10	22	1.468000E+05
11	23	5.751000E+04
12	24	8.057000E+05
12	25	1.020000E+05
12	26	1.123000E+05
13	27	8.410000E+04
14	28	9.223000E+05
14	29	4.683000E+04
14	30	3.087000E+04
15	31	8.373000E+03
16	32	4.227000E+05
16	33	3.340000E+03
16	34	1.875000E+04
16	36	7.600000E+01
17	35	3.968000E+03
17	37	1.269000E+03
18	36	8.671000E+04
18	38	1.576500E+04
18	40	2.500000E+01
19	39	3.443000E+03
19	40	4.310000E-01
19	41	2.485000E+02
20	40	6.094700E+04
20	42	4.070000E+02
20	43	8.490000E+01
20	44	1.311000E+03
20	46	2.500000E+00
20	48	1.180000E+02
21	45	3.120000E+01
22	46	2.000000E+02
22	47	1.800000E+02
22	48	1.785000E+03
22	49	1.310000E+02
22	50	1.260000E+02
23	50	7.200000E-01
23	51	2.876800E+02
24	50	5.590000E+02
24	52	1.077500E+04
24	53	1.222000E+03
24	54	3.040000E+02
25	55	9.168000E+03
26	54	4.898000E+04
26	56	7.689000E+05
26	57	1.776000E+04
26	58	2.360000E+03
27	59	2.323000E+03
28	58	3.254100E+04
28	60	1.253200E+04
28	61	5.450000E+02
28	62	1.737000E+03
28	64	4.420000E+02
29	63	3.645000E+02
29	65	1.625000E+02
30	64	5.960000E+02
30	66	3.420000E+02
30	67	5.030000E+01
30	68	2.300000E+02
30	70	7.600000E+00
31	69	2.162000E+01
31	71	1.435000E+01
32	70	2.560000E+01
32	72	3.340000E+01
32	73	9.300000E+00
32	74	4.330000E+01
32	76	9.000000E+00
33	75	6.089000E+00
34	74	5.800000E-01
34	76	6.160000E+00
34	77	5.020000E+00
34	78	1.564000E+01
34	80	3.264000E+01
34	82	5.740000E+00
35	79	5.740000E+00
35	81	5.580000E+00
36	78	2.000000E-01
36	80	1.280000E+00
36	82	6.430000E+00
36	83	6.370000E+00
36	84	3.138000E+01
36	86	9.490000E+00
37	85	4.743000E+00
37	87	1.829000E+00
38	84	1.312400E-01
38	86	2.320690E+00
38	87	1.743900E+00
38	88	1.944410E+01
39	89	4.608000E+00
40	90	5.830000E+00
40	91	1.272000E+00
40	92	1.943000E+00
40	94	1.969000E+00
40	96	3.170000E-01
41	93	7.554000E-01
42	92	3.860000E-01
42	94	2.410000E-01
42	95	4.140000E-01
42	96	4.340000E-01
42	97	2.490000E-01
42	98	6.280000E-01
42	100	2.510000E-01
44	96	1.053000E-01
44	98	3.550000E-02
44	99	2.420000E-01
44	100	2.390000E-01
44	101	3.240000E-01
44	102	5.990000E-01
44	104	3.540000E-01
45	103	3.708000E-01
46	102	1.460000E-02
46	104	1.600000E-01
46	105	3.200000E-01
46	106	3.920000E-01
46	108	3.800000E-01
46	110	1.680000E-01
47	107	2.547000E-01
47	109	2.366000E-01
48	106	1.980000E-02
48	108	1.410000E-02
48	110	1.980000E-01
48	111	2.030000E-01
48	112	3.820000E-01
48	113	1.940000E-01
48	114	4.550000E-01
48	116	1.190000E-01
49	113	7.800000E-03
49	115	1.730000E-01
50	112	3.625000E-02
50	114	2.460000E-02
50	115	1.265000E-02
50	116	5.426000E-01
50	117	2.865000E-01
50	118	9.042000E-01
50	119	3.205000E-01
50	120	1.216700E+00
50	122	1.728000E-01
50	124	2.161000E-01
51	121	1.883000E-01
51	123	1.409000E-01
52	120	4.600000E-03
52	122	1.253000E-01
52	123	4.370000E-02
52	124	2.319000E-01
52	125	3.437000E-01
52	126	9.125000E-01
52	128	1.526000E+00
52	130	1.627000E+00
53	127	9.975000E-01
54	124	6.940000E-04
54	126	6.020000E-03
54	128	1.200000E-01
54	129	1.480000E+00
54	130	2.360000E-01
54	131	1.175000E+00
54	132	1.421000E+00
54	134	5.210000E-01
54	136	4.240000E-01
55	133	3.671000E-01
56	130	4.600000E-03
56	132	4.400000E-03
56	134	1.052000E-01
56	135	2.868000E-01
56	136	3.417000E-01
56	137	4.887000E-01
56	138	3.120000E+00
57	138	3.970000E-04
57	139	4.401000E-01
58	136	2.170000E-03
58	138	2.930000E-03
58	140	1.034000E+00
58	142	1.299000E-01
59	141	1.737000E-01
60	142	2.268900E-01
60	143	1.018631E-01
60	144	1.990728E-01
60	145	6.934000E-02
60	146	1.434400E-01
60	148	4.795000E-02
60	150	4.695000E-02
62	144	7.810000E-03
62	147	3.811000E-02
62	148	2.860000E-02
62	149	3.510000E-02
62	150	1.880000E-02
62	152	6.800000E-02
62	154	5.780000E-02
63	151	4.548000E-02
63	153	4.965000E-02
64	152	6.700000E-04
64	154	7.240000E-03
64	155	4.915000E-02
64	156	6.797000E-02
64	157	5.198000E-02
64	158	8.248000E-02
64	160	7.261000E-02
65	159	5.907000E-02
66	156	2.160000E-04
66	158	3.710000E-04
66	160	9.040000E-03
66	161	7.300000E-02
66	162	9.850000E-02
66	163	9.620000E-02
66	164	1.089000E-01
67	165	8.986000E-02
68	162	3.500000E-04
68	164	4.109000E-03
68	166	8.584000E-02
68	167	5.856000E-02
68	168	6.842000E-02
68	170	3.813000E-02
69	169	3.700000E-02
70	168	3.230000E-04
70	170	7.551000E-03
70	171	3.547000E-02
70	172	5.423000E-02
