           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     4.4405E-02     8.6609E-01    -1.1927E+02     1.2549E+02     1.7313E+02     2.6338E+08     1.4250E+01     2.9192E-01     3.4203E+09     3.4076E+09    -7.1520E+07     2.8597E+08
     4.4578E-02     6.7649E+00    -1.1925E+02     1.2599E+02     1.7360E+02     2.6041E+08     1.4218E+01     2.9235E-01     3.4137E+09     3.4001E+09     9.4476E+07     2.8977E+08
     4.4752E-02     1.2667E+01    -1.1894E+02     1.2650E+02     1.7409E+02     2.5756E+08     1.4188E+01     2.9274E-01     3.4067E+09     3.3840E+09     2.6005E+08     2.9384E+08
     4.4927E-02     1.8557E+01    -1.1834E+02     1.2701E+02     1.7459E+02     2.5474E+08     1.4158E+01     2.9317E-01     3.3995E+09     3.3596E+09     4.2474E+08     2.9849E+08
     4.5102E-02     2.4416E+01    -1.1745E+02     1.2754E+02     1.7509E+02     2.5200E+08     1.4129E+01     2.9357E-01     3.3920E+09     3.3269E+09     5.8791E+08     3.0328E+08
     4.5277E-02     3.0225E+01    -1.1628E+02     1.2808E+02     1.7561E+02     2.4920E+08     1.4100E+01     2.9399E-01     3.3844E+09     3.2861E+09     7.4884E+08     3.0840E+08
     4.5453E-02     3.5964E+01    -1.1482E+02     1.2862E+02     1.7613E+02     2.4640E+08     1.4070E+01     2.9437E-01     3.3768E+09     3.2376E+09     9.0692E+08     3.1355E+08
     4.5629E-02     4.1613E+01    -1.1309E+02     1.2918E+02     1.7666E+02     2.4362E+08     1.4040E+01     2.9480E-01     3.3695E+09     3.1819E+09     1.0616E+09     3.1894E+08
     4.5805E-02     4.7159E+01    -1.1109E+02     1.2975E+02     1.7719E+02     2.4077E+08     1.4008E+01     2.9519E-01     3.3622E+09     3.1192E+09     1.2125E+09     3.2412E+08
     4.5981E-02     5.2591E+01    -1.0882E+02     1.3032E+02     1.7774E+02     2.3784E+08     1.3973E+01     2.9555E-01     3.3549E+09     3.0496E+09     1.3590E+09     3.2918E+08
     4.6158E-02     5.7900E+01    -1.0630E+02     1.3091E+02     1.7829E+02     2.3492E+08     1.3942E+01     2.9596E-01     3.3481E+09     2.9738E+09     1.5015E+09     3.3413E+08
     4.6334E-02     6.3071E+01    -1.0353E+02     1.3150E+02     1.7885E+02     2.3192E+08     1.3913E+01     2.9634E-01     3.3412E+09     2.8916E+09     1.6393E+09     3.3857E+08
     4.6511E-02     6.8097E+01    -1.0052E+02     1.3210E+02     1.7942E+02     2.2884E+08     1.3883E+01     2.9672E-01     3.3344E+09     2.8035E+09     1.7724E+09     3.4259E+08
     4.6687E-02     7.2966E+01    -9.7276E+01     1.3271E+02     1.8000E+02     2.2574E+08     1.3853E+01     2.9711E-01     3.3280E+09     2.7098E+09     1.9006E+09     3.4619E+08
     4.6864E-02     7.7663E+01    -9.3812E+01     1.3332E+02     1.8057E+02     2.2257E+08     1.3820E+01     2.9747E-01     3.3213E+09     2.6106E+09     2.0233E+09     3.4910E+08
     4.7040E-02     8.2183E+01    -9.0132E+01     1.3394E+02     1.8116E+02     2.1937E+08     1.3787E+01     2.9786E-01     3.3151E+09     2.5066E+09     2.1409E+09     3.5151E+08
     4.7217E-02     8.6517E+01    -8.6250E+01     1.3456E+02     1.8175E+02     2.1615E+08     1.3752E+01     2.9823E-01     3.3089E+09     2.3978E+09     2.2527E+09     3.5316E+08
