           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     4.4405E-02     7.8567E+01     3.4422E+01    -1.6780E+02     1.8845E+02     2.3495E+07     9.1354E+00     3.1613E-01     3.4862E+09    -1.5131E+09     3.1071E+09    -4.5822E+08
     4.4578E-02     7.5776E+01     3.9721E+01    -1.6858E+02     1.8905E+02     2.2884E+07     9.0786E+00     3.1655E-01     3.4867E+09    -1.7087E+09     3.0066E+09    -4.4532E+08
     4.4752E-02     7.2638E+01     4.4850E+01    -1.6934E+02     1.8965E+02     2.2399E+07     9.0357E+00     3.1695E-01     3.4824E+09    -1.8974E+09     2.8881E+09    -4.3148E+08
     4.4927E-02     6.9164E+01     4.9778E+01    -1.7009E+02     1.9024E+02     2.2046E+07     9.0063E+00     3.1736E-01     3.4731E+09    -2.0781E+09     2.7514E+09    -4.1687E+08
     4.5102E-02     6.5371E+01     5.4466E+01    -1.7080E+02     1.9082E+02     2.1859E+07     8.9921E+00     3.1776E-01     3.4593E+09    -2.2501E+09     2.5965E+09    -4.0261E+08
     4.5277E-02     6.1276E+01     5.8878E+01    -1.7150E+02     1.9140E+02     2.1785E+07     8.9894E+00     3.1817E-01     3.4408E+09    -2.4104E+09     2.4244E+09    -3.8833E+08
     4.5453E-02     5.6904E+01     6.2979E+01    -1.7217E+02     1.9196E+02     2.1820E+07     8.9977E+00     3.1858E-01     3.4189E+09    -2.5585E+09     2.2366E+09    -3.7480E+08
     4.5629E-02     5.2281E+01     6.6739E+01    -1.7282E+02     1.9249E+02     2.1959E+07     9.0171E+00     3.1899E-01     3.3952E+09    -2.6933E+09     2.0352E+09    -3.6297E+08
     4.5805E-02     4.7434E+01     7.0137E+01    -1.7345E+02     1.9301E+02     2.2121E+07     9.0382E+00     3.1939E-01     3.3711E+09    -2.8130E+09     1.8242E+09    -3.5207E+08
     4.5981E-02     4.2386E+01     7.3158E+01    -1.7406E+02     1.9351E+02     2.2284E+07     9.0589E+00     3.1979E-01     3.3481E+09    -2.9176E+09     1.6062E+09    -3.4258E+08
     4.6158E-02     3.7162E+01     7.5793E+01    -1.7466E+02     1.9398E+02     2.2430E+07     9.0786E+00     3.2022E-01     3.3280E+09    -3.0080E+09     1.3841E+09    -3.3427E+08
