           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     1.0503E-02    -8.3274E+00    -7.1008E+01    -6.9064E+01     9.9405E+01     4.9917E+08     1.4794E+01     6.7850E-02     5.1459E+09     5.0490E+09    -9.8604E+08     1.2804E+08
     1.0644E-02    -1.1341E+00    -7.2057E+01    -6.8913E+01     9.9712E+01     5.2512E+08     1.5024E+01     7.1878E-02     5.1394E+09     5.1148E+09    -4.9685E+08     7.6077E+07
     1.0786E-02     6.1087E+00    -7.2408E+01    -6.8847E+01     1.0010E+02     5.3990E+08     1.5171E+01     7.5370E-02     5.1195E+09     5.1195E+09     3.5913E+06     1.2548E+07
     1.0927E-02     1.3319E+01    -7.2044E+01    -6.8885E+01     1.0056E+02     5.4958E+08     1.5292E+01     7.8925E-02     5.0933E+09     5.0670E+09     5.1235E+08    -6.7076E+07
     1.1069E-02     2.0410E+01    -7.0960E+01    -6.9030E+01     1.0108E+02     5.4909E+08     1.5321E+01     8.1657E-02     5.0543E+09     4.9491E+09     1.0159E+09    -1.4264E+08
     1.1210E-02     2.7297E+01    -6.9168E+01    -6.9286E+01     1.0164E+02     5.5133E+08     1.5364E+01     8.5286E-02     5.0216E+09     4.7826E+09     1.5154E+09    -2.1731E+08
     1.1352E-02     3.3914E+01    -6.6686E+01    -6.9633E+01     1.0221E+02     5.4672E+08     1.5323E+01     8.8451E-02     4.9901E+09     4.5674E+09     1.9915E+09    -2.7234E+08
     1.1493E-02     4.0195E+01    -6.3546E+01    -7.0054E+01     1.0277E+02     5.2801E+08     1.5193E+01     9.1116E-02     4.9578E+09     4.3043E+09     2.4386E+09    -3.2455E+08
     1.1634E-02     4.6073E+01    -5.9794E+01    -7.0540E+01     1.0331E+02     5.1799E+08     1.5103E+01     9.4037E-02     4.9324E+09     4.0015E+09     2.8614E+09    -3.5956E+08
     1.1776E-02     5.1489E+01    -5.5465E+01    -7.1072E+01     1.0382E+02     5.0239E+08     1.4991E+01     9.6464E-02     4.9019E+09     3.6486E+09     3.2495E+09    -3.9618E+08
     1.1917E-02     5.6378E+01    -5.0614E+01    -7.1649E+01     1.0428E+02     4.9941E+08     1.4961E+01     9.9270E-02     4.8768E+09     3.2583E+09     3.6041E+09    -4.2015E+08
     1.2059E-02     6.0688E+01    -4.5293E+01    -7.2261E+01     1.0467E+02     4.9099E+08     1.4907E+01     1.0173E-01     4.8508E+09     2.8319E+09     3.9133E+09    -4.4346E+08
     1.2200E-02     6.4381E+01    -3.9566E+01    -7.2896E+01     1.0500E+02     4.8948E+08     1.4896E+01     1.0444E-01     4.8339E+09     2.3872E+09     4.1788E+09    -4.5308E+08
     1.2342E-02     6.7433E+01    -3.3500E+01    -7.3542E+01     1.0525E+02     4.8049E+08     1.4839E+01     1.0692E-01     4.8202E+09     1.9280E+09     4.3942E+09    -4.5718E+08
     1.2483E-02     6.9831E+01    -2.7160E+01    -7.4186E+01     1.0544E+02     4.6856E+08     1.4765E+01     1.0945E-01     4.8130E+09     1.4624E+09     4.5631E+09    -4.5281E+08
     1.2624E-02     7.1572E+01    -2.0613E+01    -7.4817E+01     1.0557E+02     4.6063E+08     1.4717E+01     1.1236E-01     4.8148E+09     9.9837E+08     4.6896E+09    -4.3898E+08
