           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     1.0503E-02    -6.9642E+01     6.6054E-01    -7.7835E+01     1.0444E+02     2.2013E+08     1.2058E+01     7.3096E-02     5.0279E+09    -6.0159E+07    -4.9930E+09    -5.8862E+08
     1.0644E-02    -6.9453E+01    -6.3995E+00    -7.8647E+01     1.0512E+02     2.0309E+08     1.1868E+01     7.6265E-02     5.0298E+09     3.3246E+08    -4.9881E+09    -5.5433E+08
     1.0786E-02    -6.8702E+01    -1.3421E+01    -7.9404E+01     1.0586E+02     1.9060E+08     1.1740E+01     7.9281E-02     5.0132E+09     7.3077E+08    -4.9330E+09    -5.1362E+08
     1.0927E-02    -6.7379E+01    -2.0326E+01    -8.0096E+01     1.0662E+02     1.8366E+08     1.1688E+01     8.1779E-02     4.9739E+09     1.1400E+09    -4.8189E+09    -4.6724E+08
     1.1069E-02    -6.5469E+01    -2.7022E+01    -8.0716E+01     1.0739E+02     1.8625E+08     1.1777E+01     8.4667E-02     4.9135E+09     1.5613E+09    -4.6406E+09    -4.1174E+08
     1.1210E-02    -6.2952E+01    -3.3406E+01    -8.1266E+01     1.0809E+02     1.9298E+08     1.1941E+01     8.6835E-02     4.8243E+09     1.9934E+09    -4.3778E+09    -3.6744E+08
     1.1352E-02    -5.9826E+01    -3.9383E+01    -8.1761E+01     1.0870E+02     2.0484E+08     1.2182E+01     8.9119E-02     4.7441E+09     2.4213E+09    -4.0660E+09    -3.3340E+08
     1.1493E-02    -5.6115E+01    -4.4886E+01    -8.2213E+01     1.0919E+02     2.1460E+08     1.2399E+01     9.1002E-02     4.6733E+09     2.8246E+09    -3.7106E+09    -3.0510E+08
     1.1634E-02    -5.1859E+01    -4.9878E+01    -8.2621E+01     1.0956E+02     2.2552E+08     1.2611E+01     9.2844E-02     4.6304E+09     3.1894E+09    -3.3460E+09    -2.7006E+08
     1.1776E-02    -4.7113E+01    -5.4350E+01    -8.2975E+01     1.0981E+02     2.3141E+08     1.2742E+01     9.4968E-02     4.6121E+09     3.5168E+09    -2.9752E+09    -2.2808E+08
     1.1917E-02    -4.1936E+01    -5.8286E+01    -8.3269E+01     1.0995E+02     2.3214E+08     1.2777E+01     9.6782E-02     4.6060E+09     3.7986E+09    -2.5986E+09    -1.8277E+08
     1.2059E-02    -3.6381E+01    -6.1695E+01    -8.3487E+01     1.1000E+02     2.3069E+08     1.2775E+01     9.8881E-02     4.6219E+09     4.0506E+09    -2.2222E+09    -1.2605E+08
     1.2200E-02    -3.0499E+01    -6.4573E+01    -8.3624E+01     1.0997E+02     2.2610E+08     1.2733E+01     1.0111E-01     4.6467E+09     4.2640E+09    -1.8456E+09    -6.6554E+07
     1.2342E-02    -2.4337E+01    -6.6914E+01    -8.3675E+01     1.0987E+02     2.1934E+08     1.2648E+01     1.0335E-01     4.6792E+09     4.4442E+09    -1.4642E+09    -5.0359E+06
     1.2483E-02    -1.7945E+01    -6.8713E+01    -8.3640E+01     1.0972E+02     2.1166E+08     1.2546E+01     1.0575E-01     4.7152E+09     4.5893E+09    -1.0809E+09     5.6083E+07
     1.2624E-02    -1.1368E+01    -6.9964E+01    -8.3517E+01     1.0954E+02     2.0291E+08     1.2435E+01     1.0826E-01     4.7553E+09     4.7036E+09    -6.8923E+08     1.1846E+08
     1.2766E-02    -4.6549E+00    -7.0658E+01    -8.3307E+01     1.0934E+02     1.9382E+08     1.2319E+01     1.1090E-01     4.7963E+09     4.7840E+09    -2.9368E+08     1.7913E+08
     1.2907E-02     2.1481E+00    -7.0791E+01    -8.3012E+01     1.0912E+02     1.8457E+08     1.2204E+01     1.1353E-01     4.8378E+09     4.8308E+09     1.0614E+08     2.3724E+08
     1.3049E-02     8.9981E+00    -7.0353E+01    -8.2639E+01     1.0890E+02     1.7704E+08     1.2117E+01     1.1656E-01     4.8833E+09     4.8475E+09     5.1394E+08     2.8935E+08
     1.3190E-02     1.5840E+01    -6.9339E+01    -8.2198E+01     1.0870E+02     1.6906E+08     1.2022E+01     1.1917E-01     4.9207E+09     4.8225E+09     9.1994E+08     3.3244E+08
     1.3331E-02     2.2621E+01    -6.7751E+01    -8.1710E+01     1.0853E+02     1.6519E+08     1.1989E+01     1.2193E-01     4.9538E+09     4.7600E+09     1.3256E+09     3.5444E+08
     1.3473E-02     2.9283E+01    -6.5591E+01    -8.1202E+01     1.0841E+02     1.6166E+08     1.1965E+01     1.2448E-01     4.9754E+09     4.6524E+09     1.7265E+09     3.5883E+08
     1.3614E-02     3.5759E+01    -6.2863E+01    -8.0716E+01     1.0838E+02     1.6568E+08     1.2066E+01     1.2720E-01     4.9844E+09     4.4964E+09     2.1268E+09     3.2082E+08
     1.3756E-02     4.1974E+01    -5.9576E+01    -8.0308E+01     1.0844E+02     1.7239E+08     1.2215E+01     1.2945E-01     4.9736E+09     4.2820E+09     2.5176E+09     2.4965E+08
     1.3897E-02     4.7840E+01    -5.5745E+01    -8.0031E+01     1.0863E+02     1.8578E+08     1.2486E+01     1.3168E-01     4.9424E+09     4.0037E+09     2.8948E+09     1.3552E+08
     1.4039E-02     5.3270E+01    -5.1390E+01    -7.9942E+01     1.0895E+02     2.0801E+08     1.2891E+01     1.3453E-01     4.9042E+09     3.6684E+09     3.2548E+09    -6.5350E+06
     1.4180E-02     5.8198E+01    -4.6560E+01    -8.0045E+01     1.0937E+02     2.2570E+08     1.3172E+01     1.3623E-01     4.8581E+09     3.2959E+09     3.5665E+09    -1.3502E+08
     1.4321E-02     6.2585E+01    -4.1316E+01    -8.0314E+01     1.0988E+02     2.4463E+08     1.3453E+01     1.3861E-01     4.8222E+09     2.9049E+09     3.8414E+09    -2.4184E+08
     1.4463E-02     6.6411E+01    -3.5717E+01    -8.0716E+01     1.1046E+02     2.5898E+08     1.3659E+01     1.4108E-01     4.7887E+09     2.5040E+09     4.0691E+09    -3.2218E+08
     1.4604E-02     6.9662E+01    -2.9829E+01    -8.1218E+01     1.1108E+02     2.6614E+08     1.3775E+01     1.4308E-01     4.7520E+09     2.0924E+09     4.2493E+09    -3.8374E+08
     1.4746E-02     7.2326E+01    -2.3713E+01    -8.1793E+01     1.1173E+02     2.7343E+08     1.3884E+01     1.4547E-01     4.7185E+09     1.6744E+09     4.3906E+09    -4.2813E+08
     1.4887E-02     7.4394E+01    -1.7432E+01    -8.2427E+01     1.1239E+02     2.7622E+08     1.3943E+01     1.4759E-01     4.6797E+09     1.2510E+09     4.4854E+09    -4.6524E+08
     1.5029E-02     7.5863E+01    -1.1045E+01    -8.3106E+01     1.1307E+02     2.7761E+08     1.3990E+01     1.4974E-01     4.6398E+09     8.2660E+08     4.5385E+09    -4.9636E+08
     1.5170E-02     7.6734E+01    -4.6113E+00    -8.3826E+01     1.1374E+02     2.8134E+08     1.4061E+01     1.5216E-01     4.6015E+09     4.0476E+08     4.5539E+09    -5.2198E+08
     1.5311E-02     7.7011E+01     1.8148E+00    -8.4584E+01     1.1441E+02     2.8175E+08     1.4093E+01     1.5439E-01     4.5626E+09    -1.0997E+07     4.5294E+09    -5.4891E+08
     1.5453E-02     7.6708E+01     8.1831E+00    -8.5379E+01     1.1507E+02     2.8079E+08     1.4102E+01     1.5641E-01     4.5270E+09    -4.1517E+08     4.4711E+09    -5.7464E+08
     1.5594E-02     7.5844E+01     1.4448E+01    -8.6209E+01     1.1573E+02     2.7847E+08     1.4092E+01     1.5851E-01     4.4952E+09    -8.0462E+08     4.3818E+09    -5.9941E+08
     1.5736E-02     7.4441E+01     2.0568E+01    -8.7072E+01     1.1639E+02     2.7450E+08     1.4055E+01     1.6048E-01     4.4680E+09    -1.1759E+09     4.2654E+09    -6.2216E+08
     1.5875E-02     7.2551E+01     2.6439E+01    -8.7954E+01     1.1704E+02     2.7070E+08     1.4012E+01     1.6259E-01     4.4494E+09    -1.5250E+09     4.1306E+09    -6.4014E+08
     1.6013E-02     7.0226E+01     3.2019E+01    -8.8848E+01     1.1769E+02     2.6362E+08     1.3928E+01     1.6439E-01     4.4315E+09    -1.8494E+09     3.9735E+09    -6.5498E+08
     1.6152E-02     6.7445E+01     3.7408E+01    -8.9764E+01     1.1835E+02     2.5531E+08     1.3830E+01     1.6609E-01     4.4157E+09    -2.1572E+09     3.7952E+09    -6.6426E+08
     1.6288E-02     6.4311E+01     4.2447E+01    -9.0673E+01     1.1899E+02     2.4631E+08     1.3722E+01     1.6773E-01     4.4014E+09    -2.4398E+09     3.6020E+09    -6.6711E+08
     1.6420E-02     6.0931E+01     4.7056E+01    -9.1550E+01     1.1962E+02     2.3730E+08     1.3611E+01     1.6926E-01     4.3881E+09    -2.6941E+09     3.3996E+09    -6.6369E+08
     1.6551E-02     5.7251E+01     5.1365E+01    -9.2413E+01     1.2023E+02     2.2845E+08     1.3499E+01     1.7069E-01     4.3746E+09    -2.9276E+09     3.1841E+09    -6.5401E+08
     1.6682E-02     5.3257E+01     5.5403E+01    -9.3263E+01     1.2085E+02     2.1979E+08     1.3389E+01     1.7211E-01     4.3610E+09    -3.1429E+09     2.9550E+09    -6.3888E+08
     1.6815E-02     4.8944E+01     5.9173E+01    -9.4098E+01     1.2146E+02     2.1140E+08     1.3277E+01     1.7353E-01     4.3474E+09    -3.3408E+09     2.7123E+09    -6.1869E+08
     1.6949E-02     4.4356E+01     6.2632E+01    -9.4908E+01     1.2206E+02     2.0466E+08     1.3188E+01     1.7511E-01     4.3361E+09    -3.5210E+09     2.4603E+09    -5.9236E+08
     1.7084E-02     3.9483E+01     6.5780E+01    -9.5692E+01     1.2265E+02     1.9715E+08     1.3086E+01     1.7653E-01     4.3230E+09    -3.6815E+09     2.1946E+09    -5.6456E+08
     1.7221E-02     3.4325E+01     6.8606E+01    -9.6447E+01     1.2323E+02     1.8998E+08     1.2986E+01     1.7795E-01     4.3102E+09    -3.8232E+09     1.9173E+09    -5.3419E+08
     1.7361E-02     2.8888E+01     7.1087E+01    -9.7172E+01     1.2381E+02     1.8305E+08     1.2890E+01     1.7941E-01     4.2983E+09    -3.9459E+09     1.6286E+09    -5.0272E+08
     1.7503E-02     2.3231E+01     7.3182E+01    -9.7858E+01     1.2438E+02     1.7763E+08     1.2813E+01     1.8104E-01     4.2890E+09    -4.0496E+09     1.3332E+09    -4.6778E+08
     1.7644E-02     1.7446E+01     7.4855E+01    -9.8498E+01     1.2494E+02     1.7168E+08     1.2728E+01     1.8253E-01     4.2791E+09    -4.1296E+09     1.0332E+09    -4.3532E+08
     1.7785E-02     1.1561E+01     7.6103E+01    -9.9090E+01     1.2547E+02     1.6616E+08     1.2643E+01     1.8402E-01     4.2697E+09    -4.1871E+09     7.3195E+08    -4.0363E+08
     1.7927E-02     5.6102E+00     7.6925E+01    -9.9637E+01     1.2600E+02     1.6193E+08     1.2580E+01     1.8568E-01     4.2629E+09    -4.2249E+09     4.3034E+08    -3.7058E+08
     1.8068E-02    -3.7771E-01     7.7321E+01    -1.0014E+02     1.2652E+02     1.5738E+08     1.2511E+01     1.8707E-01     4.2546E+09    -4.2390E+09     1.2934E+08    -3.4061E+08
     1.8210E-02    -6.3712E+00     7.7291E+01    -1.0060E+02     1.2702E+02     1.5395E+08     1.2467E+01     1.8885E-01     4.2483E+09    -4.2334E+09    -1.7142E+08    -3.1237E+08
     1.8351E-02    -1.2341E+01     7.6837E+01    -1.0102E+02     1.2752E+02     1.5040E+08     1.2418E+01     1.9031E-01     4.2388E+09    -4.2030E+09    -4.6877E+08    -2.8782E+08
     1.8493E-02    -1.8250E+01     7.5964E+01    -1.0142E+02     1.2802E+02     1.4843E+08     1.2398E+01     1.9187E-01     4.2293E+09    -4.1509E+09    -7.6511E+08    -2.6725E+08
     1.8634E-02    -2.4069E+01     7.4674E+01    -1.0178E+02     1.2851E+02     1.4738E+08     1.2396E+01     1.9333E-01     4.2161E+09    -4.0734E+09    -1.0579E+09    -2.5197E+08
     1.8776E-02    -2.9757E+01     7.2973E+01    -1.0213E+02     1.2900E+02     1.4701E+08     1.2407E+01     1.9458E-01     4.1958E+09    -3.9664E+09    -1.3466E+09    -2.4304E+08
     1.8917E-02    -3.5276E+01     7.0867E+01    -1.0247E+02     1.2949E+02     1.4854E+08     1.2454E+01     1.9591E-01     4.1737E+09    -3.8341E+09    -1.6314E+09    -2.4061E+08
     1.9058E-02    -4.0587E+01     6.8361E+01    -1.0282E+02     1.2997E+02     1.5131E+08     1.2526E+01     1.9711E-01     4.1465E+09    -3.6722E+09    -1.9102E+09    -2.4376E+08
     1.9200E-02    -4.5652E+01     6.5471E+01    -1.0317E+02     1.3044E+02     1.5398E+08     1.2597E+01     1.9813E-01     4.1168E+09    -3.4866E+09    -2.1746E+09    -2.5047E+08
     1.9341E-02    -5.0443E+01     6.2216E+01    -1.0352E+02     1.3089E+02     1.5719E+08     1.2676E+01     1.9926E-01     4.0920E+09    -3.2855E+09    -2.4257E+09    -2.5661E+08
     1.9483E-02    -5.4940E+01     5.8619E+01    -1.0389E+02     1.3133E+02     1.5964E+08     1.2738E+01     2.0029E-01     4.0713E+09    -3.0733E+09    -2.6574E+09    -2.6039E+08
     1.9624E-02    -5.9133E+01     5.4710E+01    -1.0426E+02     1.3176E+02     1.6011E+08     1.2761E+01     2.0123E-01     4.0551E+09    -2.8550E+09    -2.8676E+09    -2.6306E+08
