           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     1.0503E-02     6.8298E+01     1.4475E+01    -7.7780E+01     1.0452E+02     1.4798E+08     1.1777E+01     7.3778E-02     4.8900E+09    -9.0075E+08     4.7677E+09    -6.0754E+08
     1.0644E-02     6.6728E+01     2.1149E+01    -7.8694E+01     1.0532E+02     1.4478E+08     1.1726E+01     7.6431E-02     4.8980E+09    -1.3148E+09     4.6697E+09    -6.7476E+08
     1.0786E-02     6.4581E+01     2.7655E+01    -7.9687E+01     1.0623E+02     1.3866E+08     1.1622E+01     7.9069E-02     4.8980E+09    -1.7164E+09     4.5302E+09    -7.2207E+08
     1.0927E-02     6.1881E+01     3.3939E+01    -8.0743E+01     1.0724E+02     1.2974E+08     1.1397E+01     8.1536E-02     4.8931E+09    -2.0984E+09     4.3537E+09    -7.6457E+08
     1.1069E-02     5.8659E+01     3.9947E+01    -8.1855E+01     1.0834E+02     1.2000E+08     1.1151E+01     8.3903E-02     4.8806E+09    -2.4565E+09     4.1404E+09    -8.0204E+08
     1.1210E-02     5.4948E+01     4.5626E+01    -8.3017E+01     1.0951E+02     1.0923E+08     1.0906E+01     8.6294E-02     4.8547E+09    -2.7868E+09     3.8844E+09    -8.4456E+08
     1.1352E-02     5.0780E+01     5.0919E+01    -8.4223E+01     1.1075E+02     1.0336E+08     1.0775E+01     8.8549E-02     4.8240E+09    -3.1008E+09     3.5919E+09    -8.6854E+08
     1.1493E-02     4.6186E+01     5.5768E+01    -8.5462E+01     1.1201E+02     9.9706E+07     1.0701E+01     9.0651E-02     4.7855E+09    -3.3907E+09     3.2589E+09    -8.8515E+08
     1.1634E-02     4.1202E+01     6.0122E+01    -8.6722E+01     1.1328E+02     9.7505E+07     1.0664E+01     9.2632E-02     4.7460E+09    -3.6529E+09     2.8954E+09    -8.9264E+08
     1.1776E-02     3.5869E+01     6.3946E+01    -8.7988E+01     1.1453E+02     9.5841E+07     1.0640E+01     9.4527E-02     4.7110E+09    -3.8842E+09     2.5131E+09    -8.8940E+08
     1.1917E-02     3.0234E+01     6.7223E+01    -8.9245E+01     1.1575E+02     9.3339E+07     1.0596E+01     9.6396E-02     4.6826E+09    -4.0803E+09     2.1210E+09    -8.8285E+08
     1.2059E-02     2.4342E+01     6.9947E+01    -9.0472E+01     1.1692E+02     9.1384E+07     1.0549E+01     9.8328E-02     4.6631E+09    -4.2449E+09     1.7310E+09    -8.5381E+08
     1.2200E-02     1.8243E+01     7.2120E+01    -9.1655E+01     1.1805E+02     8.8828E+07     1.0471E+01     1.0025E-01     4.6491E+09    -4.3756E+09     1.3430E+09    -8.1569E+08
     1.2342E-02     1.1983E+01     7.3747E+01    -9.2779E+01     1.1912E+02     8.5790E+07     1.0374E+01     1.0217E-01     4.6386E+09    -4.4729E+09     9.5815E+08    -7.6916E+08
