           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     1.0503E-02     5.8042E+01    -4.1104E+01     7.7488E+01     1.0518E+02     1.3311E+08     1.2396E+01     7.1385E-02     4.6800E+09     2.7535E+09     3.7553E+09     4.6690E+08
     1.0644E-02     6.1645E+01    -3.5587E+01     7.8276E+01     1.0580E+02     1.3652E+08     1.2373E+01     7.2934E-02     4.7128E+09     2.3355E+09     4.0415E+09     6.4961E+08
     1.0786E-02     6.4632E+01    -2.9696E+01     7.9322E+01     1.0654E+02     1.3138E+08     1.2155E+01     7.4620E-02     4.7494E+09     1.8862E+09     4.2808E+09     8.2092E+08
     1.0927E-02     6.6975E+01    -2.3505E+01     8.0578E+01     1.0738E+02     1.2268E+08     1.1888E+01     7.6626E-02     4.7828E+09     1.4281E+09     4.4659E+09     9.4373E+08
     1.1069E-02     6.8672E+01    -1.7089E+01     8.1968E+01     1.0829E+02     1.1259E+08     1.1616E+01     7.8712E-02     4.8096E+09     9.7260E+08     4.5990E+09     1.0172E+09
     1.1210E-02     6.9735E+01    -1.0518E+01     8.3431E+01     1.0924E+02     1.0281E+08     1.1280E+01     8.1071E-02     4.8323E+09     5.3243E+08     4.6875E+09     1.0465E+09
     1.1352E-02     7.0185E+01    -3.8509E+00     8.4916E+01     1.1023E+02     9.2631E+07     1.0963E+01     8.3524E-02     4.8499E+09     1.0704E+08     4.7339E+09     1.0490E+09
     1.1493E-02     7.0044E+01     2.8562E+00     8.6387E+01     1.1125E+02     8.2875E+07     1.0678E+01     8.6004E-02     4.8648E+09    -3.0510E+08     4.7451E+09     1.0281E+09
     1.1634E-02     6.9328E+01     9.5534E+00     8.7819E+01     1.1229E+02     7.4152E+07     1.0344E+01     8.8385E-02     4.8749E+09    -7.0536E+08     4.7200E+09     9.9422E+08
     1.1776E-02     6.8057E+01     1.6190E+01     8.9192E+01     1.1335E+02     6.6714E+07     1.0033E+01     9.0712E-02     4.8773E+09    -1.0882E+09     4.6596E+09     9.4473E+08
     1.1917E-02     6.6258E+01     2.2716E+01     9.0487E+01     1.1443E+02     6.0494E+07     9.7894E+00     9.3018E-02     4.8713E+09    -1.4545E+09     4.5637E+09     8.8707E+08
     1.2059E-02     6.3950E+01     2.9081E+01     9.1702E+01     1.1552E+02     5.5582E+07     9.5831E+00     9.5241E-02     4.8569E+09    -1.8076E+09     4.4309E+09     8.2994E+08
     1.2200E-02     6.1154E+01     3.5231E+01     9.2835E+01     1.1662E+02     5.2044E+07     9.3842E+00     9.7324E-02     4.8314E+09    -2.1442E+09     4.2599E+09     7.7325E+08
     1.2342E-02     5.7893E+01     4.1111E+01     9.3890E+01     1.1772E+02     4.9715E+07     9.2656E+00     9.9289E-02     4.7944E+09    -2.4655E+09     4.0484E+09     7.1935E+08
     1.2483E-02     5.4187E+01     4.6660E+01     9.4873E+01     1.1880E+02     4.8592E+07     9.2171E+00     1.0110E-01     4.7458E+09    -2.7727E+09     3.7925E+09     6.7164E+08
     1.2624E-02     5.0057E+01     5.1817E+01     9.5792E+01     1.1986E+02     4.8514E+07     9.2320E+00     1.0284E-01     4.6886E+09    -3.0643E+09     3.4923E+09     6.3016E+08
     1.2766E-02     4.5529E+01     5.6520E+01     9.6657E+01     1.2087E+02     4.9273E+07     9.2951E+00     1.0443E-01     4.6273E+09    -3.3358E+09     3.1518E+09     5.9233E+08
     1.2907E-02     4.0634E+01     6.0718E+01     9.7468E+01     1.2181E+02     5.0370E+07     9.3799E+00     1.0596E-01     4.5687E+09    -3.5820E+09     2.7815E+09     5.5301E+08
     1.3049E-02     3.5412E+01     6.4378E+01     9.8219E+01     1.2266E+02     5.1441E+07     9.4593E+00     1.0744E-01     4.5174E+09    -3.7980E+09     2.3926E+09     5.0812E+08
     1.3190E-02     2.9907E+01     6.7482E+01     9.8901E+01     1.2341E+02     5.2135E+07     9.5150E+00     1.0895E-01     4.4768E+09    -3.9815E+09     1.9955E+09     4.5507E+08
     1.3331E-02     2.4166E+01     7.0023E+01     9.9502E+01     1.2405E+02     5.2243E+07     9.5356E+00     1.1055E-01     4.4477E+09    -4.1316E+09     1.5988E+09     3.9418E+08
