0.0	3.3417E-01
603965.9096339791	3.3416E-01
1209412.3573041575	3.3414E-01
1815123.2602773837	3.3410E-01
2418463.0491285166	3.3405E-01
3017887.7000312647	3.3399E-01
3610934.39153912	3.3393E-01
4195882.130136642	3.3387E-01
4771527.443073129	3.3381E-01
5337349.582892242	3.3376E-01
5893210.72591164	3.3371E-01
6438578.082154476	3.3367E-01
6974168.014896113	3.3363E-01
7499804.365448475	3.3359E-01
8015064.763306657	3.3355E-01
8520987.443653462	3.3350E-01
9017207.211820075	3.3345E-01
9503171.422761982	3.3340E-01
9979826.462544326	3.3335E-01
10446860.968731228	3.3328E-01
10903760.188577147	3.3322E-01
11350256.07023912	3.3314E-01
11785284.923157351	3.3306E-01
12209280.797819337	3.3297E-01
12621586.236285834	3.3287E-01
13021428.60825954	3.3276E-01
13408104.163154462	3.3265E-01
13780901.148328431	3.3253E-01
14138988.7354082	3.3240E-01
14481278.993583405	3.3227E-01
14806592.187265778	3.3213E-01
15113531.667019458	3.3199E-01
15401755.600255447	3.3185E-01
15670449.880268274	3.3171E-01
15918985.797468381	3.3157E-01
16147694.717513084	3.3143E-01
16356872.252970612	3.3130E-01
16547142.024531005	3.3116E-01
16718957.545400372	3.3103E-01
16873085.12941246	3.3090E-01
17018231.46682404	3.3075E-01
17144646.064926505	3.3060E-01
17253467.338769905	3.3044E-01
17344971.577953074	3.3027E-01
17419467.59174918	3.3009E-01
17477170.812806055	3.2989E-01
17518339.53347177	3.2968E-01
17542827.02559653	3.2945E-01
17550699.59431817	3.2921E-01
17541899.575587586	3.2896E-01
17516088.67869765	3.2868E-01
17473000.103588395	3.2840E-01
17412154.937571626	3.2811E-01
17332586.76597351	3.2781E-01
17233925.63811275	3.2751E-01
17115399.70815756	3.2722E-01
16976673.37260159	3.2693E-01
16817825.4197741	3.2666E-01
16639306.508385496	3.2641E-01
16441632.234361649	3.2617E-01
16226548.326739116	3.2595E-01
15995003.296342267	3.2573E-01
15748229.825361326	3.2552E-01
15487140.459825404	3.2531E-01
15213379.588457653	3.2509E-01
14927440.554227639	3.2486E-01
14631207.443338366	3.2462E-01
14324707.807491222	3.2437E-01
14009623.754048498	3.2410E-01
13686794.671141962	3.2381E-01
13356848.337837784	3.2351E-01
13021597.782146398	3.2319E-01
12681734.968055435	3.2285E-01
12339019.05704015	3.2249E-01
11995030.534350464	3.2212E-01
11650434.270446744	3.2174E-01
11308051.199477298	3.2133E-01
10968603.895665117	3.2091E-01
10635491.309760917	3.2048E-01
10309441.201636488	3.2003E-01
9993887.534388207	3.1956E-01
9691183.699631328	3.1908E-01
9404218.645905677	3.1859E-01
9135200.059659338	3.1808E-01
8886737.56898447	3.1757E-01
8662658.651938215	3.1704E-01
8465948.961575422	3.1650E-01
8297040.790402322	3.1597E-01
8161092.834106226	3.1543E-01
8057669.81227203	3.1490E-01
7990634.4908836875	3.1436E-01
7959553.749425905	3.1383E-01
7965392.362589553	3.1330E-01
8008412.907686516	3.1279E-01
8089245.17492207	3.1229E-01
8204979.670907172	3.1180E-01
8355149.576758036	3.1132E-01
8537845.61643041	3.1086E-01
8751874.756873524	3.1041E-01
8993785.833563082	3.0998E-01
9262019.804016834	3.0955E-01
9554714.485006865	3.0913E-01
9868228.020267872	3.0871E-01
10201544.650198814	3.0829E-01
10551894.548847612	3.0787E-01
10915559.54864431	3.0745E-01
11291546.369297696	3.0701E-01
11676069.42511049	3.0657E-01
12067439.99695047	3.0611E-01
12462326.868205631	3.0563E-01
12859378.053389674	3.0515E-01
13256090.85439595	3.0465E-01
13650823.095330184	3.0413E-01
14042940.664262593	3.0361E-01
14430339.909025012	3.0308E-01
14814648.080616023	3.0254E-01
15193479.408552207	3.0201E-01
15568624.85015616	3.0146E-01
15938800.634693317	3.0092E-01
16305624.972076353	3.0037E-01
16667770.547076773	2.9982E-01
17026668.487111624	2.9928E-01
17381733.68942235	2.9873E-01
17732129.66792201	2.9818E-01
18079980.34539861	2.9763E-01
18423790.97173	2.9708E-01
18763358.341459025	2.9653E-01
19099925.177863915	2.9598E-01
19431590.82782467	2.9542E-01
19760270.357715253	2.9485E-01
20404077.799547814	2.9369E-01
21029540.835215587	2.9250E-01
21635933.56478985	2.9128E-01
22221071.4388393	2.9002E-01
22784598.773952547	2.8872E-01
23326762.007188223	2.8738E-01
23848047.749449007	2.8600E-01
24347074.462858982	2.8457E-01
24825750.779785085	2.8310E-01
25286497.810689405	2.8161E-01
25728647.958237138	2.8011E-01
26156214.0309411	2.7859E-01
26567341.581159376	2.7707E-01
26965446.14668928	2.7555E-01
27351035.16761294	2.7402E-01
27725529.979785778	2.7249E-01
28089924.642476346	2.7099E-01
28445107.742808778	2.6949E-01
28793365.66120744	2.6799E-01
29134562.80313813	2.6649E-01
29469665.973845035	2.6500E-01
29800828.837802477	2.6348E-01
30127864.16193488	2.6196E-01
30452287.706016436	2.6041E-01
30775888.10822524	2.5884E-01
31098108.85890008	2.5722E-01
31421578.048850443	2.5557E-01
31746304.924038008	2.5388E-01
32073019.08146472	2.5216E-01
32403336.67448462	2.5039E-01
32739165.90733643	2.4862E-01
33080814.72873514	2.4683E-01
33429060.82871608	2.4502E-01
33786257.026785314	2.4320E-01
34152359.415566005	2.4139E-01
34528764.287909284	2.3955E-01
34916277.58510348	2.3773E-01
35314426.45152262	2.3592E-01
35726646.20531851	2.3411E-01
36151067.92129383	2.3227E-01
36589796.65207228	2.3042E-01
37044588.23539546	2.2857E-01
37514082.27705964	2.2671E-01
37999004.63867442	2.2483E-01
38500270.56489343	2.2297E-01
