# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      1      0     2.38118523604259E-07   2.38118523604259E-07
    2      1      1     1.18979443744210E-13   2.37958887488420E-13
    3      2      1     1.62099110805755E-11   4.86297332417264E-11
    4      2      2     1.42753490093851E-09   5.71013960375405E-09
    7      3      4     3.53007163360569E-15   2.47105014352399E-14
    9      4      5     2.60988044923930E-18   2.34889240431537E-17
   10      5      5     1.27334626568840E-16   1.27334626568840E-15
   11      5      6     2.58660201030177E-19   2.84526221133195E-18
   12      6      6     1.55821949073358E-20   1.86986338888030E-19
   13      6      7     1.64099712830197E-19   2.13329626679257E-18
   14      7      7     3.19281344743042E-18   4.46993882640259E-17
   15      7      8     2.13574865091134E-20   3.20362297636701E-19
   16      8      8     2.90941102220349E-21   4.65505763552558E-20
   17      8      9     1.23274195370114E-22   2.09566132129194E-21
   18      8     10     1.14938087433855E-19   2.06888557380939E-18
   19      9     10     9.62874628549074E-20   1.82946179424324E-18
   20     10     10     7.28202136866109E-21   1.45640427373222E-19
   21     10     11     9.37017026365100E-21   1.96773575536671E-19
   22     10     12     3.96091178435206E-19   8.71400592557453E-18
   23     11     12     3.27950007093535E-21   7.54285016315131E-20
   24     12     12     4.05199756869396E-21   9.72479416486550E-20
   25     12     13     2.70754647988970E-20   6.76886619972425E-19
   26     12     14     1.37803236845638E-20   3.58288415798659E-19
   27     13     14     2.10685212359965E-21   5.68850073371906E-20
   28     14     14     4.23441415170742E-21   1.18563596247808E-19
   29     14     15     6.78332906981483E-21   1.96716543024630E-19
   30     14     16     4.38309586976834E-21   1.31492876093050E-19
   31     15     16     8.06207313464161E-22   2.49924267173890E-20
   32     16     16     1.54570901222341E-21   4.94626883911491E-20
   33     16     17     1.70296251660967E-21   5.61977630481191E-20
   34     16     18     2.85943636158747E-21   9.72208362939740E-20
   35     17     18     3.95603784743391E-21   1.38461324660187E-19
   36     16     20     2.69027207004226E-19   9.68497945215214E-18
   37     17     20     2.41749670241246E-19   8.94473779892612E-18
   38     18     20     1.81474783648799E-19   6.89604177865435E-18
   39     19     20     4.50037118305101E-20   1.75514476138989E-18
   40     18     22     7.09502997803529E-18   2.83801199121412E-16
