# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      1      0     2.04023396568565E-10   2.04023396568565E-10
    2      1      1     3.26345827817130E-18   6.52691655634260E-18
    3      2      1     8.68433317170123E-18   2.60529995151037E-17
    4      2      2     9.88582391729883E-11   3.95432956691953E-10
    7      3      4     5.35759768182917E-20   3.75031837728042E-19
   10      5      5     1.23789186693963E-18   1.23789186693963E-17
   11      5      6     4.76402188835594E-23   5.24042407719153E-22
   12      6      6     2.88481376956585E-22   3.46177652347902E-21
   13      6      7     1.05646794781374E-23   1.37340833215787E-22
   14      7      7     9.97244930368787E-19   1.39614290251630E-17
   15      7      8     1.70307494347507E-21   2.55461241521261E-20
   16      8      8     3.34342601476301E-24   5.34948162362081E-23
   17      8      9     1.88114082865637E-23   3.19793940871583E-22
   18      8     10     3.45463901564039E-23   6.21835022815271E-22
   20     10     10     8.76784884322998E-23   1.75356976864600E-21
   23     11     12     4.33458035235885E-22   9.96953481042536E-21
   24     12     12     5.35364286721856E-22   1.28487428813246E-20
   27     13     14     1.53974395766352E-22   4.15730868569150E-21
   28     14     14     1.04023441188986E-18   2.91265635329161E-17
   29     14     15     4.15928834257600E-22   1.20619361934704E-20
   30     14     16     1.37975283123024E-21   4.13925849369072E-20
   31     15     16     5.44173888521140E-19   1.68693905441554E-17
   32     16     16     4.29736630967780E-16   1.37515721909689E-14
   33     16     17     1.36493668008891E-18   4.50429104429340E-17
   34     16     18     9.21961439716012E-15   3.13466889503444E-13
   35     17     18     3.26253972138097E-15   1.14188890248334E-13
   36     16     20     1.82004363045769E-17   6.55215706964767E-16
   37     17     20     1.89956732910248E-17   7.02839911767917E-16
   38     18     20     1.48476395260691E-15   5.64210301990624E-14
   39     19     20     4.78116046108284E-18   1.86465257982231E-16
   40     18     22     5.67279344291052E-14   2.26911737716421E-12
   41     19     22     1.62332084808182E-16   6.65561547713547E-15
   42     20     22     1.32475994492167E-15   5.56399176867100E-14
   43     20     23     2.10009080959346E-13   9.03039048125189E-12
   44     20     24     2.34339867450420E-13   1.03109541678185E-11
   45     21     24     2.07859342086791E-13   9.35367039390561E-12
   46     20     26     3.72551026202381E-08   1.71373472053095E-06
   47     22     25     4.93495213280706E-07   2.31942750241932E-05
   48     22     26     2.92079687117041E-04   1.40198249816180E-02
   49     22     27     5.16100255445089E-05   2.52889125168093E-03
   50     22     28     5.80373248705798E-04   2.90186624352899E-02
   51     23     28     5.20213619546219E-06   2.65308945968572E-04
   52     24     28     8.99396358196163E-07   4.67686106262005E-05
   53     24     29     2.07916919671394E-05   1.10195967425839E-03
   54     24     30     3.31207784875316E-05   1.78852203832671E-03
   54     26     28     4.93887669984874E-23   2.66699341791832E-21
   55     25     30     7.36456355670254E-07   4.05050995618640E-05
   56     26     30     2.93522811930255E-08   1.64372774680943E-06
   57     26     31     2.33767293639154E-07   1.33247357374318E-05
   58     26     32     3.89216806188470E-06   2.25745747589313E-04
   59     27     32     2.71394458652001E-08   1.60122730604680E-06
   60     28     32     9.03275241990257E-07   5.41965145194154E-05
   61     28     33     5.19029225486002E-07   3.16607827546461E-05
   62     28     34     1.45736500177070E-07   9.03566301097836E-06
   63     29     34     4.31734952569289E-07   2.71993020118652E-05
   64     28     36     3.86227993230882E-06   2.47185915667764E-04
   64     30     34     4.59650779140205E-20   2.94176498649731E-18
   65     29     36     4.57552660547303E-07   2.97409229355747E-05
   66     30     36     9.58599783465057E-06   6.32675857086938E-04
   67     30     37     2.19874110404532E-06   1.47315653971036E-04
   68     30     38     2.30339838787093E-05   1.56631090375224E-03
   69     31     38     1.80836102303052E-05   1.24776910589106E-03
   70     30     40     1.05306266364775E-03   7.37143864553423E-02
   70     32     38     7.19714375228308E-13   5.03800062659815E-11
   71     31     40     1.32479416076919E-05   9.40603854146124E-04
   72     32     40     8.59495697528203E-04   6.18836902220306E-02
   73     32     41     4.83731072975698E-05   3.53123683272260E-03
   74     32     42     1.77289930549625E-05   1.31194548606722E-03
   75     33     42     1.45829971700823E-04   1.09372478775617E-02
   76     32     44     7.38609371122145E-04   5.61343122052830E-02
   76     34     42     1.72881815714501E-11   1.31390179943021E-09
   77     34     43     1.73209381537660E-05   1.33371223783998E-03
   78     34     44     4.73263853832120E-04   3.69145805989054E-02
   79     35     44     2.19179870593769E-04   1.73152097769078E-02
   80     34     46     1.30276234234458E-04   1.04220987387567E-02
   80     36     44     3.32199187795086E-21   2.65759350236069E-19
   81     35     46     3.76879603597196E-04   3.05272478913729E-02
   82     34     48     5.29427392684459E-03   4.34130462001256E-01
   82     36     46     2.63130005789430E-10   2.15766604747332E-08
   83     36     47     1.43677162765594E-03   1.19252045095443E-01
   84     36     48     1.01324202369267E-03   8.51123299901839E-02
   85     37     48     9.72402909191211E-06   8.26542472812529E-04
   86     36     50     2.90057986494446E-05   2.49449868385224E-03
   86     38     48     9.16508995959017E-18   7.88197736524755E-16
   87     38     49     1.15642544222806E-06   1.00609013473841E-04
   88     38     50     2.38516938656560E-07   2.09894906017773E-05
   89     39     50     1.19396557175493E-07   1.06262935886189E-05
   90     40     50     2.63719919017403E-07   2.37347927115662E-05
   91     40     51     2.74714626605069E-09   2.49990310210613E-07
   92     40     52     1.41272484077657E-10   1.29970685351444E-08
   93     41     52     1.86956166945086E-10   1.73869235258930E-08
   94     40     54     3.81842449513430E-11   3.58931902542624E-09
   95     42     53     2.78525642321626E-13   2.64599360205545E-11
   96     42     54     7.95442863891616E-14   7.63625149335951E-12
   97     42     55     1.67842107338425E-14   1.62806844118272E-12
